AphiaId,AphiaId_Desc,ICES_Vocab_CodeType_Worms_AphiaId,ASFIS_Code,ASFIS_Code_Desc,ICES_Vocab_CodeType_FAO_ASFIS
218589,Acanthopagrus bifasciatus,SpecWoRMS,AAB,Acanthopagrus bifasciatus,SpecASFIS
151802,Acipenser oxyrinchus,SpecWoRMS,AAO,Acipenser oxyrinchus,SpecASFIS
877649,Astacus astacus,SpecWoRMS,AAS,Astacus astacus,SpecASFIS
154274,Blicca bjoerkna,SpecWoRMS,ABK,Blicca bjoerkna,SpecASFIS
159288,Abudefduf saxatilis,SpecWoRMS,ABU,Abudefduf saxatilis,SpecASFIS
126752,Ammodytes tobianus,SpecWoRMS,ABZ,Ammodytes tobianus,SpecASFIS
405451,Gymnocephalus cernua,SpecWoRMS,ACC,Gymnocephalus cernua,SpecASFIS
127188,Salvelinus alpinus,SpecWoRMS,ACH,Salvelinus alpinus,SpecASFIS
279502,Aculeola nigra,SpecWoRMS,ACN,Aculeola nigra,SpecASFIS
126291,Derichthys serpentinus,SpecWoRMS,ADD,Derichthys serpentinus,SpecASFIS
126292,Nessorhamphus ingolfianus,SpecWoRMS,ADN,Nessorhamphus ingolfianus,SpecASFIS
103309,Antipathes dichotoma,SpecWoRMS,ADQ,Antipathes dichotoma,SpecASFIS
126700,Einara edentula,SpecWoRMS,AEE,Einara edentula,SpecASFIS
127322,Astronesthes gemmifer,SpecWoRMS,AEG,Astronesthes gemmifer,SpecASFIS
127324,Astronesthes leucopogon,SpecWoRMS,AEO,Astronesthes leucopogon,SpecASFIS
107651,Pandalus montagui,SpecWoRMS,AES,Pandalus montagui,SpecASFIS
127190,Agonus cataphractus,SpecWoRMS,AFT,Agonus cataphractus,SpecASFIS
126299,Gymnothorax maderensis,SpecWoRMS,AGD,Gymnothorax maderensis,SpecASFIS
158584,Gymnothorax moringa,SpecWoRMS,AGG,Gymnothorax moringa,SpecASFIS
126300,Gymnothorax polygonius,SpecWoRMS,AGI,Gymnothorax polygonius,SpecASFIS
141115,Ranella olearium,SpecWoRMS,AGJ,Ranella olearium,SpecASFIS
126301,Gymnothorax unicolor,SpecWoRMS,AGK,Gymnothorax unicolor,SpecASFIS
105928,Squatina squatina,SpecWoRMS,AGN,Squatina squatina,SpecASFIS
271878,Gymnothorax pseudothyrsoideus,SpecWoRMS,AGO,Gymnothorax pseudothyrsoideus,SpecASFIS
126393,Anoplogaster cornuta,SpecWoRMS,AGW,Anoplogaster cornuta,SpecASFIS
