Stock,Species,Areas,AreaType,StockDescription
agn.27.nea,AGN,27.4,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.a.e,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.a.w,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.1,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.2,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.10,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.14,IC_Sub-areas,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.2.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.2.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.c,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.d,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.e,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.f,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.14.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.14.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.b.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.b.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.c.22,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.b.23,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.24,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.25,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
