"Area_27","ICESNAME","Area"
"14.b.2","47A0","27.14.b.2"
"14.b.2","48A0","27.14.b.2"
"14.b.2","49A0","27.14.b.2"
"14.b.2","50A0","27.14.b.2"
"14.b.2","51A0","27.14.b.2"
"14.b.2","52A0","27.14.b.2"
"14.b.2","53A0","27.14.b.2"
"14.b.2","54A0","27.14.b.2"
"14.b.2","47A1","27.14.b.2"
"14.b.2","48A1","27.14.b.2"
"14.b.2","49A1","27.14.b.2"
"14.b.2","50A1","27.14.b.2"
"14.b.2","51A1","27.14.b.2"
"14.b.2","52A1","27.14.b.2"
"14.b.2","53A1","27.14.b.2"
"14.b.2","54A1","27.14.b.2"
"14.b.2","55A1","27.14.b.2"
"10.a.1","01A2","27.10.a.1"
"10.a.1","02A2","27.10.a.1"
"10.a.1","03A2","27.10.a.1"
"10.a.1","04A2","27.10.a.1"
"10.a.1","05A2","27.10.a.1"
"10.a.1","06A2","27.10.a.1"
"10.a.1","07A2","27.10.a.1"
"10.a.1","08A2","27.10.a.1"
"10.a.1","09A2","27.10.a.1"
"10.a.1","10A2","27.10.a.1"
"10.a.1","11A2","27.10.a.1"
"10.a.1","12A2","27.10.a.1"
"10.a.1","13A2","27.10.a.1"
"10.a.1","14A2","27.10.a.1"
"10.b","15A2","27.10.b"
"10.b","16A2","27.10.b"
"10.b","17A2","27.10.b"
"10.b","18A2","27.10.b"
"10.b","19A2","27.10.b"
"10.b","20A2","27.10.b"
"10.b","21A2","27.10.b"
"10.b","22A2","27.10.b"
"10.b","23A2","27.10.b"
"10.b","24A2","27.10.b"
"12.c","25A2","27.12.c"
"12.c","26A2","27.12.c"
"12.c","27A2","27.12.c"
"12.c","28A2","27.12.c"
"12.c","29A2","27.12.c"
"12.c","30A2","27.12.c"
"12.c","31A2","27.12.c"
"12.c","32A2","27.12.c"
"12.c","33A2","27.12.c"
"12.a.1","34A2","27.12.a.1"
"12.a.1","35A2","27.12.a.1"
"12.a.1","36A2","27.12.a.1"
"12.a.1","37A2","27.12.a.1"
"12.a.1","38A2","27.12.a.1"
"12.a.1","39A2","27.12.a.1"
"12.a.1","40A2","27.12.a.1"
"12.a.1","41A2","27.12.a.1"
"12.a.3","43A2","27.12.a.3"
"12.a.3","44A2","27.12.a.3"
"12.a.3","45A2","27.12.a.3"
"12.a.3","46A2","27.12.a.3"
"14.b.2","47A2","27.14.b.2"
"14.b.2","48A2","27.14.b.2"
"14.b.2","49A2","27.14.b.2"
