OBJECTID,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,stat_x,stat_y,Area_27,Perc,MaxPer,RNDMaxPer,AreasList,Shape_Leng,Shape_Area
1,47.00000000000,47A0,59.00000000000,-44.00000000000,59.50000000000,-43.00000000000,3178,-43.50000000000,59.25000000000,14.b.2,100.00000000,100.00000000000,100,14.b.2,2.99999999940,0.49999999980
2,48.00000000000,48A0,59.50000000000,-44.00000000000,60.00000000000,-43.00000000000,3132,-43.50000000000,59.75000000000,14.b.2,84.12674145,84.12674145000,84,14.b.2,2.99999999940,0.49999999980
3,49.00000000000,49A0,60.00000000000,-44.00000000000,60.50000000000,-43.00000000000,3085,-43.50000000000,60.25000000000,14.b.2,24.99803694,24.99803694000,25,14.b.2,2.99999999940,0.49999999980
4,50.00000000000,50A0,60.50000000000,-44.00000000000,61.00000000000,-43.00000000000,3038,-43.50000000000,60.75000000000,14.b.2,11.97744244,11.97744244000,12,14.b.2,2.99999999940,0.49999999980
5,51.00000000000,51A0,61.00000000000,-44.00000000000,61.50000000000,-43.00000000000,2991,-43.50000000000,61.25000000000,14.b.2,3.89717625,3.89717625000,4,14.b.2,3.00000000120,0.50000000070
6,52.00000000000,52A0,61.50000000000,-44.00000000000,62.00000000000,-43.00000000000,2944,-43.50000000000,61.75000000000,14.b.2,0.28578428,0.28578428000,0,14.b.2,2.99999999940,0.49999999980
7,53.00000000000,53A0,62.00000000000,-44.00000000000,62.50000000000,-43.00000000000,2896,-43.50000000000,62.25000000000,14.b.2,0.01158985,0.01158985000,0,14.b.2,2.99999999940,0.49999999980
8,54.00000000000,54A0,62.50000000000,-44.00000000000,63.00000000000,-43.00000000000,2848,-43.50000000000,62.75000000000,14.b.2,1.22180620,1.22180620000,1,14.b.2,2.99999999940,0.49999999980
9,145.00000000000,47A1,59.00000000000,-43.00000000000,59.50000000000,-42.00000000000,3178,-42.50000000000,59.25000000000,14.b.2,100.00000000,100.00000000000,100,14.b.2,3.00000000120,0.50000000025
10,146.00000000000,48A1,59.50000000000,-43.00000000000,60.00000000000,-42.00000000000,3132,-42.50000000000,59.75000000000,14.b.2,100.00000000,100.00000000000,100,14.b.2,3.00000000120,0.50000000025
11,147.00000000000,49A1,60.00000000000,-43.00000000000,60.50000000000,-42.00000000000,3085,-42.50000000000,60.25000000000,14.b.2,99.99758409,99.99758409000,100,14.b.2,3.00000000120,0.50000000025
12,148.00000000000,50A1,60.50000000000,-43.00000000000,61.00000000000,-42.00000000000,3038,-42.50000000000,60.75000000000,14.b.2,83.98866614,83.98866614000,84,14.b.2,3.00000000120,0.50000000025
13,149.00000000000,51A1,61.00000000000,-43.00000000000,61.50000000000,-42.00000000000,2991,-42.50000000000,61.25000000000,14.b.2,67.62277839,67.62277839000,68,14.b.2,3.00000000300,0.50000000115
14,150.00000000000,52A1,61.50000000000,-43.00000000000,62.00000000000,-42.00000000000,2944,-42.50000000000,61.75000000000,14.b.2,36.08433707,36.08433707000,36,14.b.2,3.00000000120,0.50000000025
15,151.00000000000,53A1,62.00000000000,-43.00000000000,62.50000000000,-42.00000000000,2896,-42.50000000000,62.25000000000,14.b.2,37.82537527,37.82537527000,38,14.b.2,3.00000000120,0.50000000025
16,152.00000000000,54A1,62.50000000000,-43.00000000000,63.00000000000,-42.00000000000,2848,-42.50000000000,62.75000000000,14.b.2,26.89629252,26.89629252000,27,14.b.2,3.00000000120,0.50000000025
17,153.00000000000,55A1,63.00000000000,-43.00000000000,63.50000000000,-42.00000000000,2800,-42.50000000000,63.25000000000,14.b.2,3.92592861,3.92592861000,4,14.b.2,3.00000000120,0.50000000025
18,197.00000000000,01A2,36.00000000000,-42.00000000000,36.50000000000,-41.00000000000,4987,-41.50000000000,36.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
19,198.00000000000,02A2,36.50000000000,-42.00000000000,37.00000000000,-41.00000000000,4955,-41.50000000000,36.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
20,199.00000000000,03A2,37.00000000000,-42.00000000000,37.50000000000,-41.00000000000,4923,-41.50000000000,37.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
21,200.00000000000,04A2,37.50000000000,-42.00000000000,38.00000000000,-41.00000000000,4891,-41.50000000000,37.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
22,201.00000000000,05A2,38.00000000000,-42.00000000000,38.50000000000,-41.00000000000,4858,-41.50000000000,38.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
23,202.00000000000,06A2,38.50000000000,-42.00000000000,39.00000000000,-41.00000000000,4825,-41.50000000000,38.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,3.00000000120,0.50000000070
24,203.00000000000,07A2,39.00000000000,-42.00000000000,39.50000000000,-41.00000000000,4792,-41.50000000000,39.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
25,204.00000000000,08A2,39.50000000000,-42.00000000000,40.00000000000,-41.00000000000,4758,-41.50000000000,39.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
26,205.00000000000,09A2,40.00000000000,-42.00000000000,40.50000000000,-41.00000000000,4724,-41.50000000000,40.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
27,206.00000000000,10A2,40.50000000000,-42.00000000000,41.00000000000,-41.00000000000,4689,-41.50000000000,40.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
28,207.00000000000,11A2,41.00000000000,-42.00000000000,41.50000000000,-41.00000000000,4654,-41.50000000000,41.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
29,208.00000000000,12A2,41.50000000000,-42.00000000000,42.00000000000,-41.00000000000,4619,-41.50000000000,41.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
30,209.00000000000,13A2,42.00000000000,-42.00000000000,42.50000000000,-41.00000000000,4583,-41.50000000000,42.25000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
31,210.00000000000,14A2,42.50000000000,-42.00000000000,43.00000000000,-41.00000000000,4547,-41.50000000000,42.75000000000,10.a.1,100.00000000,100.00000000000,100,10.a.1,2.99999999940,0.49999999980
32,211.00000000000,15A2,43.00000000000,-42.00000000000,43.50000000000,-41.00000000000,4511,-41.50000000000,43.25000000000,10.b,100.00000000,100.00000000000,100,10.b,3.00000000120,0.50000000070
33,212.00000000000,16A2,43.50000000000,-42.00000000000,44.00000000000,-41.00000000000,4474,-41.50000000000,43.75000000000,10.b,100.00000000,100.00000000000,100,10.b,2.99999999940,0.49999999980
34,213.00000000000,17A2,44.00000000000,-42.00000000000,44.50000000000,-41.00000000000,4437,-41.50000000000,44.25000000000,10.b,100.00000000,100.00000000000,100,10.b,2.99999999940,0.49999999980
35,214.00000000000,18A2,44.50000000000,-42.00000000000,45.00000000000,-41.00000000000,4400,-41.50000000000,44.75000000000,10.b,100.00000000,100.00000000000,100,10.b,2.99999999940,0.49999999980
36,215.00000000000,19A2,45.00000000000,-42.00000000000,45.50000000000,-41.00000000000,4362,-41.50000000000,45.25000000000,10.b,100.00000000,100.00000000000,100,10.b,2.99999999940,0.49999999980
