tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
228458,100684,Cerianthidae,365,SpecWoRMS,2020-05-20,2020-05-20,False
228377,100930,Actinauge richardi,365,SpecWoRMS,2020-05-20,2020-09-08,False
229541,101,Gastropoda,365,SpecWoRMS,2020-11-05,2021-05-27,False
228296,101013,Pachycerianthus multiplicatus,365,SpecWoRMS,2020-05-20,2020-05-20,False
168753,101167,Lampetra,365,SpecWoRMS,2016-11-04,2016-11-04,False
138917,101170,Myxine glutinosa,365,SpecWoRMS,2013-11-27,2013-11-27,False
137943,101172,Lampetra fluviatilis,365,SpecWoRMS,2013-11-26,2020-09-18,False
138921,101174,Petromyzon marinus,365,SpecWoRMS,2013-11-28,2013-11-28,False
234015,101380,Eusiridae,365,SpecWoRMS,2021-06-15,2021-06-15,False
234016,101519,Eusirus,365,SpecWoRMS,2021-06-15,2021-06-15,False
228940,1015724,Leuciscus aspius,365,SpecWoRMS,2020-07-15,2020-07-15,False
234017,101798,Hyperoche,365,SpecWoRMS,2021-06-15,2021-06-15,False
234018,101800,Themisto,365,SpecWoRMS,2021-06-15,2021-06-15,False
202600,1019159,Rajella lintea,365,SpecWoRMS,2020-04-15,2020-04-15,False
137342,10193,Elasmobranchii,365,SpecWoRMS,2013-05-02,2020-05-13,False
228800,10194,Actinopterygii,365,SpecWoRMS,2020-07-09,2021-09-15,False
229315,10211,Squaliformes,365,SpecWoRMS,2020-09-15,2020-09-15,False
229316,10216,Rajiformes,365,SpecWoRMS,2020-09-15,2020-09-15,False
234019,10295,Anguilliformes,365,SpecWoRMS,2021-06-15,2021-06-15,False
234020,10306,Stomiiformes,365,SpecWoRMS,2021-06-15,2021-06-15,False
168792,10309,Myctophiformes,365,SpecWoRMS,2016-11-04,2016-11-04,False
234021,103256,Hyperoche medusarum,365,SpecWoRMS,2021-06-15,2021-06-15,False
234022,103259,Themisto abyssorum,365,SpecWoRMS,2021-06-15,2021-06-15,False
228857,10329,Scorpaeniformes,365,SpecWoRMS,2020-07-13,2020-07-13,False
228297,103301,Antipathidae,365,SpecWoRMS,2020-05-20,2020-05-20,False
228378,103302,Antipathes,365,SpecWoRMS,2020-05-20,2020-05-20,False
228459,103304,Bathypathes,365,SpecWoRMS,2020-05-20,2020-05-20,False
228460,103305,Leiopathes,365,SpecWoRMS,2020-05-20,2020-05-20,False
228461,103306,Parantipathes,365,SpecWoRMS,2020-05-20,2020-05-20,False
228462,103308,Stichopathes,365,SpecWoRMS,2020-05-20,2020-05-20,False
228379,103309,Antipathes dichotoma,365,SpecWoRMS,2020-05-20,2020-05-20,False
229317,10331,Pleuronectiformes,365,SpecWoRMS,2020-09-15,2020-09-15,False
228298,103310,Antipathes erinaceus,365,SpecWoRMS,2020-05-20,2020-05-20,False
228463,103323,Bathypathes patula,365,SpecWoRMS,2020-05-20,2020-05-20,False
228380,103325,Leiopathes expansa,365,SpecWoRMS,2020-05-20,2020-05-20,False
228211,103331,Stichopathes dissimilis,365,SpecWoRMS,2020-05-20,2020-05-20,False
228212,103333,Stichopathes flagellum,365,SpecWoRMS,2020-05-20,2020-05-20,False
228299,103335,Stichopathes richardi,365,SpecWoRMS,2020-05-20,2020-05-20,False
234023,104152,Calanus,365,SpecWoRMS,2021-06-15,2021-06-15,False
234024,104174,Euchaeta,365,SpecWoRMS,2021-06-15,2021-06-15,False
